red_4_month,red_5_month,red_6_month,red_8_month,red_9_month,id,elevation_contour,district_name,soil_name,productivity
,0.10200000000000001,0.41000000000000003,,,1890,1813,9,23,5.0
,,,,,1891,1813,9,23,5.0
,0.41000000000000003,,0.18166666666666667,0.139,1892,1813,9,23,5.0
0.0,0.10350000000000001,0.199,0.158,,1893,1799,9,27,8.1
,0.036000000000000004,0.137,,,1894,1799,9,27,8.1
,,,,,1895,1799,9,27,8.1
,0.129,,0.09233333333333334,0.081,1896,1799,9,27,8.1
0.0,0.216,0.357,0.228,,1897,1835,9,15,8.3
,0.105,0.269,,,1898,1835,9,15,8.3
,,,,,1899,1835,9,15,8.3
,0.278,,0.12133333333333333,0.109,1900,1835,9,15,8.3
0.0,0.297,0.52,0.311,,1901,1945,9,15,5.3
,0.127,0.368,,,1902,1945,9,15,5.3
,,,,,1903,1945,9,15,5.3
,0.368,,0.16033333333333333,0.201,1904,1945,9,15,5.3
0.0,0.081,0.138,0.108,,1905,2110,9,23,5.7
,0.061,0.111,,,1906,2110,9,23,5.7
,,,,,1907,2110,9,23,5.7
,0.107,,0.06533333333333334,0.063,1908,2110,9,23,5.7
0.0,0.1815,0.321,0.191,,1921,1849,9,15,5.2
,0.096,0.242,,,1922,1849,9,15,5.2
,,,,,1923,1849,9,15,5.2
,0.245,,0.09966666666666668,0.097,1924,1849,9,15,5.2
,,,,,1940,1951,9,23,7.5
,,,,,1950,1901,9,30,4.6
,,,,,1951,2110,9,15,6.0
,,,,,1953,1932,9,15,6.6
0.0,0.162,0.28400000000000003,0.17,,2018,1631,9,15,2.3
,0.082,0.212,,,2019,1631,9,15,2.3
,,,,,2020,1631,9,15,2.3
,0.218,,0.09933333333333333,0.084,2021,1631,9,15,2.3
,0.043000000000000003,,0.029500000000000002,0.032,2103,1027,7,57,3.515
,,,,,2137,1942,9,15,4.5
,,,,,2163,1644,9,30,7.2
0.0,0.0755,0.126,0.092,,2164,1927,9,15,3.5
,0.033,0.105,,,2165,1927,9,15,3.5
,,,,,2166,1927,9,15,3.5
,0.098,,0.05466666666666667,0.049,2167,1927,9,15,3.5
,,,,,2168,1802,9,30,7.6
,,,,,2169,1768,9,30,3.7
,,,,,2180,1873,9,15,8.2
0.0,0.1265,0.216,0.132,,2194,1851,9,17,5.3
,0.064,0.161,,,2195,1851,9,17,5.3
,,,,,2196,1851,9,17,5.3
,0.166,,0.07833333333333332,0.066,2197,1851,9,17,5.3
0.0,0.231,0.452,0.272,,2214,1855,9,17,3.6
,0.08600000000000001,0.298,,,2215,1855,9,17,3.6
,,,,,2216,1855,9,17,3.6
,0.28700000000000003,,0.13233333333333333,0.115,2217,1855,9,17,3.6
0.0,0.0775,0.148,0.10200000000000001,,2270,1793,9,15,2.0
0.002,0.033,0.097,,,2271,1793,9,15,2.0
,,,,,2272,1793,9,15,2.0
,0.091,,0.04800000000000001,0.04,2273,1793,9,15,2.0
,,,,,2291,1824,9,15,8.5
,,,,,2296,1871,9,15,6.6
,,,,,2300,1561,9,30,2.5
,,,,,2313,1723,9,30,3.2
,,,,,2316,1738,9,30,8.7
,,,,,2318,1810,9,30,4.5
,0.128,,0.065,0.059000000000000004,2319,1901,7,56,0.6
,0.162,,0.051500000000000004,0.07,2320,1939,7,56,0.6
,0.0,,0.0,0.0,2321,1882,7,56,0.8
,0.089,,0.062,0.053,2322,1882,7,56,0.6
,,,,,2324,1990,9,15,4.9
,,,,,2325,1926,9,33,1.0
,0.106,0.164,,0.064,2326,1913,15,39,1.7
0.05,,0.121,0.082,,2327,1846,9,27,0.5
,0.049,,0.025500000000000002,0.034,2328,1846,9,27,0.5
0.07,,0.159,0.099,,2331,1750,9,15,0.2
,0.08,,0.0405,0.043000000000000003,2332,1750,9,15,0.2
,,,,,2333,1893,9,30,5.2
,,,,,2337,1785,9,15,0.4
,,,,,2343,1548,9,15,0.7
0.0,0.091,0.184,0.138,,2351,1496,9,15,1.0
0.0685,0.078,0.1215,0.101,,2352,1496,9,15,1.0
,,,,,2353,1496,9,15,1.0
,0.092,,0.057999999999999996,0.048,2354,1496,9,15,1.0
,0.114,0.121,,0.082,2355,1518,15,30,2.0
0.081,,0.17300000000000001,0.117,,2356,1729,9,15,1.0
,0.107,,0.068,0.059000000000000004,2357,1729,9,15,1.0
,0.08,0.088,,0.055,2360,1511,15,30,2.5
0.0,0.0155,0.034,0.019,,2363,2032,9,33,4.9
-0.001,0.004,0.019,,,2364,2032,9,33,4.9
,,,,,2365,2032,9,33,4.9
,0.018000000000000002,,0.008333333333333333,0.008,2366,2032,9,33,4.9
0.0,0.1315,0.248,0.145,,2402,1967,9,33,2.5
,0.059000000000000004,0.14400000000000002,,,2403,1967,9,33,2.5
,,,,,2404,1967,9,33,2.5
,0.148,,0.07266666666666667,0.07100000000000001,2405,1967,9,33,2.5
,0.124,0.115,,0.097,2412,1327,15,30,1.7
,,,,,2415,1987,9,30,2.0
,,,,,2416,2044,9,33,3.0
,,,,,2417,2037,9,30,4.0
,,,,,2419,2069,9,30,3.6
,,,,,2423,2122,9,30,5.2
,,,,,2424,1970,9,30,3.5
,,,,,2431,1932,9,30,2.4
,,,,,2450,1951,9,30,3.9
,,0.064,,,2569,2040,14,56,3.4
,0.192,0.248,,0.107,2665,1681,15,39,1.424
0.035,0.055,0.023,0.045,0.042,2695,711,21,50,1.8
0.043000000000000003,0.098,0.043000000000000003,0.029,0.039,2696,711,21,50,1.8
,0.048,0.051000000000000004,0.033,0.031,2697,711,21,50,1.8
,0.063,,0.029666666666666664,0.028,2698,711,21,50,1.8
,0.062,0.056,0.037,0.034,2707,761,21,50,1.6
,0.028,0.007,0.009000000000000001,0.02,2734,1006,15,48,2.8
,,0.21,,0.10400000000000001,2738,2381,14,33,6.632
,0.063,,,,2739,2381,14,33,6.632
,,0.14400000000000002,,,2740,2381,14,33,6.632
,,,0.05566666666666667,,2741,2381,14,33,6.632
,,0.192,,,2742,2365,14,56,3.948
,,,,,2745,1731,1,15,3.1
0.0665,0.0625,0.0505,0.09,0.105,2758,918,21,30,1.6
0.134,0.12,0.064,0.053,0.078,2759,918,21,30,1.6
,0.08600000000000001,0.068,0.045,0.048,2760,918,21,30,1.6
,0.067,,0.05433333333333334,0.051000000000000004,2761,918,21,30,1.6
,,,,,2807,1716,1,15,3.1
0.0395,0.1795,0.165,0.1205,0.092,2817,1958,15,23,4.1
0.056,0.074,0.096,0.061,0.08,2818,1958,15,23,4.1
,0.1,0.135,,0.055,2819,1958,15,23,4.1
,0.097,,0.05000000000000001,0.043000000000000003,2820,1958,15,23,4.1
