red_4_month,red_5_month,red_6_month,red_8_month,red_9_month,id,elevation_contour,district_name,soil_name,class
0.195,0.7020000000000001,0.585,0.158,0.16,463,695,5,10,16
0.148,0.417,0.321,0.105,0.181,466,698,5,10,8
0.025,0.038,0.069,0.122,0.10200000000000001,469,722,5,10,10
0.02,0.07200000000000001,0.056,0.018000000000000002,0.015,472,835,5,10,16
0.133,0.448,0.335,0.098,0.084,474,819,5,10,16
0.179,0.552,0.432,0.114,0.11,476,704,5,9,16
0.321,0.37,0.271,0.258,0.343,479,711,5,9,7
0.46,0.667,0.367,0.15,0.178,482,704,5,9,8
0.101,0.28500000000000003,0.435,0.55,0.47200000000000003,485,709,5,9,8
0.117,0.182,0.124,0.652,0.729,488,615,5,7,1
0.134,0.403,0.298,0.669,0.582,491,608,5,11,1
0.098,0.099,0.218,0.515,0.446,494,609,5,11,1
0.128,0.403,0.271,0.065,0.061,497,769,5,10,10
0.223,0.654,0.518,0.14,0.085,500,730,5,10,16
0.196,0.47400000000000003,0.327,0.181,0.127,503,658,5,7,8
0.437,0.645,0.34700000000000003,0.165,0.092,506,654,5,6,7
0.151,0.291,0.295,0.502,0.387,509,654,5,6,7
0.114,0.394,0.389,0.37,0.211,512,667,5,6,7
0.14300000000000002,0.092,0.154,0.5710000000000001,0.601,515,655,5,6,4
0.08600000000000001,0.2,0.356,0.495,0.28800000000000003,518,671,5,6,4
0.106,0.293,0.488,0.6000000000000001,0.319,521,669,5,6,16
0.41600000000000004,0.672,0.394,0.164,0.105,524,664,5,7,8
0.516,0.834,0.34800000000000003,0.638,0.281,527,1273,0,4,7
0.18,0.529,0.528,0.137,0.095,530,1221,0,4,8
0.17,0.644,0.685,0.149,0.106,533,1275,0,4,16
0.227,0.395,0.34600000000000003,0.092,0.067,536,1146,0,2,7
0.28500000000000003,0.791,0.447,0.446,0.258,539,1216,0,4,8
0.29,0.763,0.725,0.149,0.112,542,1216,0,4,8
0.508,0.616,0.528,0.529,0.365,545,1144,0,2,7
0.185,0.327,0.251,0.116,0.064,548,1170,0,2,8
0.324,0.616,0.53,0.14,0.093,550,1150,0,2,7
0.491,0.793,0.27,0.222,0.201,553,1141,0,2,7
0.128,0.531,0.611,0.20700000000000002,0.113,556,1184,0,2,16
0.065,0.271,0.159,0.058,0.036000000000000004,559,673,0,12,16
0.06,0.20400000000000001,0.215,0.062,0.046,561,1253,0,4,7
0.11,0.604,0.294,0.083,0.07100000000000001,564,654,0,12,16
0.14300000000000002,0.195,0.10200000000000001,0.055,0.052000000000000005,567,684,0,12,16
0.154,0.396,0.27,0.089,0.081,569,629,0,9,8
0.07200000000000001,0.108,0.059000000000000004,0.035,0.031,571,676,0,9,16
0.043000000000000003,0.20800000000000002,0.132,0.049,0.04,573,637,0,9,7
0.177,0.533,0.54,0.225,0.23,576,620,0,9,15
0.079,0.293,0.327,0.121,0.113,579,677,0,9,10
0.146,0.248,0.125,0.07100000000000001,0.056,582,663,0,9,8
0.595,0.619,0.41400000000000003,0.088,0.199,584,625,0,9,8
0.084,0.515,0.398,0.138,0.05,587,664,0,9,4
0.376,0.38,0.28800000000000003,0.31,0.221,590,623,0,9,15
0.656,0.617,0.588,0.617,0.337,593,664,0,9,8
0.06,0.075,0.188,0.402,0.19,596,618,0,9,8
0.46900000000000003,0.548,0.292,0.116,0.079,599,672,0,9,4
0.753,0.71,0.41300000000000003,0.106,0.40900000000000003,602,628,0,9,9
0.115,0.153,0.23900000000000002,0.554,0.365,605,621,0,9,13
0.108,0.152,0.121,0.14100000000000001,0.234,608,623,0,9,2
0.325,0.503,0.266,0.115,0.068,611,671,0,9,16
0.276,0.468,0.255,0.096,0.068,614,674,0,9,7
0.068,0.486,0.498,0.221,0.07100000000000001,617,630,0,9,2
0.495,0.657,0.557,0.083,0.241,620,633,0,9,8
0.069,0.073,0.052000000000000005,0.029,0.065,623,963,0,3,7
0.421,0.509,0.364,0.074,0.28400000000000003,626,632,0,9,7
0.14200000000000002,0.20400000000000001,0.127,0.049,0.06,629,939,0,3,8
0.025,0.041,0.09,0.132,0.123,632,635,0,9,16
0.032,0.067,0.068,0.027,0.025,635,939,0,3,8
0.217,0.33,0.212,0.063,0.08600000000000001,638,626,0,9,4
0.297,0.447,0.354,0.09,0.151,641,626,0,9,10
0.46,0.629,0.47300000000000003,0.126,0.211,644,624,0,9,7
0.023,0.049,0.029,0.01,0.01,647,897,0,3,7
0.604,0.712,0.29,0.605,0.24,650,625,0,9,7
0.273,0.41200000000000003,0.324,0.34400000000000003,0.331,653,627,0,9,7
0.455,0.519,0.28200000000000003,0.429,0.343,656,627,0,9,7
0.302,0.215,0.076,0.045,0.039,659,628,0,9,8
0.077,0.10300000000000001,0.259,0.393,0.132,662,634,0,9,10
0.192,0.356,0.136,0.094,0.111,665,629,0,9,10
0.212,0.391,0.202,0.093,0.074,668,633,0,9,16
0.264,0.712,0.485,0.159,0.161,671,636,0,9,16
0.33,0.549,0.322,0.154,0.149,674,633,0,9,16
0.181,0.5,0.37,0.126,0.15,677,742,6,3,8
0.113,0.341,0.67,0.749,0.636,680,746,6,3,10
0.14100000000000001,0.593,0.466,0.058,0.062,683,756,6,3,16
0.379,0.456,0.216,0.355,0.146,686,783,6,3,16
0.016,0.038,0.107,0.125,0.05,689,774,6,3,16
0.069,0.155,0.35100000000000003,0.442,0.197,692,738,6,10,4
0.526,0.519,0.291,0.217,0.131,695,701,6,9,10
0.051000000000000004,0.061,0.033,0.012,0.015,698,770,6,3,10
0.016,0.049,0.075,0.08600000000000001,0.068,701,762,6,3,4
0.081,0.11900000000000001,0.047,0.03,0.032,704,770,6,3,8
0.022,0.033,0.037,0.041,0.02,707,770,6,3,4
0.062,0.113,0.069,0.022,0.022,710,763,6,3,8
0.307,0.362,0.167,0.063,0.058,713,778,6,3,4
0.115,0.49,0.444,0.292,0.10400000000000001,716,760,6,3,4
0.088,0.449,0.539,0.624,0.611,719,754,6,3,4
0.098,0.264,0.423,0.599,0.315,722,756,6,3,8
0.41000000000000003,0.44,0.233,0.083,0.082,725,767,6,3,3
0.209,0.752,0.582,0.12,0.094,728,756,6,3,16
0.19,0.603,0.461,0.134,0.124,731,757,6,3,8
0.045,0.097,0.17200000000000001,0.292,0.25,734,669,6,9,4
0.19,0.189,0.405,0.5760000000000001,0.382,737,726,6,10,8
0.099,0.169,0.422,0.782,0.6990000000000001,740,793,6,3,8
0.094,0.28200000000000003,0.502,0.602,0.5690000000000001,744,733,6,10,10
0.117,0.167,0.379,0.5730000000000001,0.373,747,671,6,9,4
0.34900000000000003,0.40800000000000003,0.20600000000000002,0.125,0.35100000000000003,750,672,6,9,4
0.094,0.268,0.318,0.162,0.2,753,678,6,0,4
0.089,0.113,0.149,0.254,0.311,756,678,6,0,10
0.164,0.519,0.397,0.201,0.137,759,687,6,0,16
0.44,0.47000000000000003,0.41000000000000003,0.177,0.196,762,687,6,0,8
0.64,0.714,0.581,0.14100000000000001,0.129,765,701,6,0,16
0.115,0.162,0.24000000000000002,0.432,0.2825,768,704,6,0,10
0.14,0.226,0.23149999999999998,0.374,0.388,771,713,6,0,16
0.02,0.036000000000000004,0.0435,0.058,0.087,774,734,6,0,5
0.067,0.098,0.096,0.42,0.458,777,820,6,10,5
,,0.458,0.157,0.24,780,886,6,10,13
,,0.354,0.308,0.231,783,833,6,10,16
,,0.11800000000000001,0.036000000000000004,0.048,786,823,6,10,2
,,0.112,0.063,0.044,789,820,6,10,2
,,0.183,0.378,0.218,792,868,6,10,4
,,0.064,0.095,0.074,795,763,1,5,16
,,0.487,0.429,0.295,798,770,1,5,16
,,0.5640000000000001,0.324,0.332,801,785,1,5,10
,,0.026000000000000002,0.05,0.041,804,867,1,10,4
,,0.019,0.044,0.03,809,868,1,10,8
,,0.183,0.057,0.057,812,892,1,10,4
,,0.352,0.509,0.54,815,907,1,10,10
,,0.11900000000000001,0.293,0.224,818,937,1,10,4
,,0.038,0.052000000000000005,0.047,821,951,1,10,4
,,0.048,0.095,0.084,824,1014,1,10,4
,,0.157,0.169,0.266,827,1030,1,10,4
,,0.094,0.049,0.051000000000000004,830,940,1,10,16
,,0.037,0.05,0.055,833,1046,1,10,10
,,0.088,0.14200000000000002,0.134,836,1094,1,10,8
,,0.035,0.04,0.046,839,1094,1,10,8
,,0.057,0.089,0.076,842,1110,1,10,8
,,0.181,0.34600000000000003,0.195,845,1078,1,10,16
,,0.231,0.066,0.069,848,940,1,10,16
,,0.152,0.08600000000000001,0.08,851,1219,1,3,8
,,0.342,0.677,0.5740000000000001,854,914,1,10,10
,,0.423,0.686,0.463,857,891,1,10,4
,,0.549,0.749,0.676,860,937,1,10,8
,,0.41400000000000003,0.648,0.517,863,928,1,10,13
,,0.112,0.28300000000000003,0.201,866,1120,1,10,16
,,0.453,0.106,0.106,869,1078,1,10,8
,,0.203,0.492,0.40800000000000003,872,1115,1,10,16
,,0.051000000000000004,0.106,0.094,875,1130,1,10,10
,,0.096,0.234,0.212,878,1107,1,10,4
