ndvi_4_month,ndvi_5_month,ndvi_6_month,ndvi_7_month,ndvi_8_month,elevation_contour,class,soil_name_Аллювиальные луговые тугайных лесов и кустарников,soil_name_Горно-долинные каштановые и темно-каштановые,"soil_name_Горно-долинные светло-каштановые, местами в сочетании с лугово-светло-каштановыми слабозасоленными",soil_name_Горные светло-каштановые,soil_name_Комплекс лугово-сероземных и сероземно-луговых солончаковатых (25-30%) и солонцеватых (25-30%),"soil_name_Комплекс сероземно-луговых и луговых (сазовых) солончаковатых (15-30%) и солонцеватых (15-30%), местами вторично засоленных",soil_name_Лугово-сероземные в сочетании с сероземами северными (малокарбонатными) обыкновенными,soil_name_Луговые и лугово-болотные,"soil_name_Сероземно-луговые, местами солончаковатые",soil_name_Сероземы северные (малокарбонатные) обыкновенные,soil_name_Сероземы северные (малокарбонатные) светлые вторично засоленные и заболоченные,"soil_name_Сероземы северные (малокарбонатные) светлые, местами слабо- и среднесолончаковатые",district_name_Chui district,district_name_Kemin district,district_name_Moskva district,district_name_Panfilov district,district_name_Sokuluk district,district_name_Yssyk-Ata district,district_name_Zhayil district,mean_ndvi,mean_z_score
-0.0069999999999999,0.0067499999999999,0.08675,0.13775,0.13125,586,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.07110000000000001,-0.015117441018003542
-0.0115,0.0209999999999999,0.0925,0.1687499999999999,0.1699999999999999,703,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.08814999999999995,0.143537961477284
0.108,0.2345,0.06125,0.0299999999999999,-0.0069999999999999,595,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.08535,0.11693553952220222
0.12225,0.2415,0.02175,-0.0035,-0.0225,599,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.07189999999999999,-0.028385804707254336
0.03775,0.012,0.04925,0.11725,0.116,700,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.06645,-0.052248040305982735
0.019,0.1555,0.12,0.03275,0.0315,697,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.07175000000000001,-0.024682669834577942
0.0335,0.111,0.0705,0.114,0.07075,697,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.07995,0.062361767603165495
-0.0022499999999999,0.0279999999999999,0.07325,0.148,0.132,697,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.0758,0.022017181208143798
0.08625,0.11775,0.06875,0.00175,0.00225,687,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.05534999999999999,-0.15343505016256848
-0.0025,0.2365,0.1855,0.00975,-0.0169999999999999,695,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.08245000000000001,0.07545298933242224
0.0409999999999999,0.24075,0.1455,0.0285,-0.00775,698,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.08959999999999999,0.1535125184682991
0.05925,0.1635,0.0655,0.02325,-0.01125,698,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.060050000000000006,-0.13431346831337362
0.0012499999999999,0.1835,0.12625,0.01225,-0.01425,704,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.06179999999999998,-0.1330638445463736
0.06075,0.207,0.07825,0.03225,-0.0214999999999999,704,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.07135000000000001,-0.02819417573516896
0.0039999999999999,0.0072499999999999,0.112,0.131,0.122,709,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.07524999999999996,0.04417750265418743
-0.01525,0.018,-0.0085,0.07625,0.3445,615,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.08299999999999999,-0.006499081249431882
-0.00775,0.00325,0.0615,0.1625,0.168,609,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0775,0.03311921641438982
0.02875,0.2322499999999999,0.10475,-0.0282499999999999,-0.02675,769,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.062150000000000004,-0.14326608548516712
