,ndvi_4_month,ndvi_5_month,ndvi_6_month,ndvi_7_month,ndvi_8_month,elevation_contour,class,soil_name_Аллювиальные луговые тугайных лесов и кустарников,soil_name_Горно-долинные каштановые и темно-каштановые,"soil_name_Горно-долинные светло-каштановые, местами в сочетании с лугово-светло-каштановыми слабозасоленными",soil_name_Горные светло-каштановые,soil_name_Комплекс лугово-сероземных и сероземно-луговых солончаковатых (25-30%) и солонцеватых (25-30%),"soil_name_Комплекс сероземно-луговых и луговых (сазовых) солончаковатых (15-30%) и солонцеватых (15-30%), местами вторично засоленных",soil_name_Лугово-сероземные в сочетании с сероземами северными (малокарбонатными) обыкновенными,soil_name_Луговые и лугово-болотные,"soil_name_Сероземно-луговые, местами солончаковатые",soil_name_Сероземы северные (малокарбонатные) обыкновенные,soil_name_Сероземы северные (малокарбонатные) светлые вторично засоленные и заболоченные,"soil_name_Сероземы северные (малокарбонатные) светлые, местами слабо- и среднесолончаковатые",district_name_Chui district,district_name_Kemin district,district_name_Moskva district,district_name_Panfilov district,district_name_Sokuluk district,district_name_Yssyk-Ata district,district_name_Zhayil district
133,0.020999999999999998,0.11475,0.05960000000000001,-0.004200000000000004,-0.016200000000000003,723,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
134,0.1155,0.3032,-0.004999999999999993,-0.024999999999999994,-0.007750000000000002,587,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
135,0.0264,0.09180000000000002,-0.011199999999999998,-0.0019999999999999983,-0.0027500000000000024,587,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
136,0.04,0.1435,0.0016000000000000042,-0.011400000000000004,-0.015199999999999997,587,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
137,0.0019999999999999983,0.00020000000000000017,0.1772,0.35,0.318625,737,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
138,0.0062,-0.007800000000000001,0.0762,0.2935,0.33199999999999996,737,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
139,-0.00040000000000000034,0.1015,0.123,0.009999999999999998,-0.003400000000000003,737,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
140,0.015750000000000007,0.3612,0.31820000000000004,0.056400000000000006,0.027125000000000003,713,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
141,-0.0052000000000000015,0.1042,0.07400000000000001,0.147125,0.20425,713,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
143,0.117,0.3478,0.2261666666666667,0.1004,0.035250000000000004,737,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
144,0.0142,-0.008799999999999999,0.023400000000000004,0.210875,0.3315,737,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
145,-0.008600000000000002,0.011749999999999997,0.046599999999999996,0.1976,0.1964,737,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
146,0.0105,0.26260000000000006,0.022000000000000002,0.048600000000000004,0.10450000000000001,742,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
147,0.0378,0.1106,0.0318,0.094125,0.0845,742,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
148,0.0256,0.156,0.10040000000000002,0.12560000000000002,0.023799999999999998,742,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
149,0.011250000000000001,0.046400000000000004,0.011399999999999997,-0.011600000000000001,-0.00875,784,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
150,0.0,0.013800000000000002,0.0029999999999999983,-0.0072499999999999995,-0.0115,784,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
151,-0.0052,0.025750000000000002,0.0228,-0.0042,-0.0112,784,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
152,-0.0002500000000000002,0.0462,0.0862,0.1795,0.39587500000000003,717,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
153,-0.0166,0.0512,0.163,0.145875,-0.019000000000000003,717,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
154,0.011599999999999996,0.18400000000000002,0.1484,0.07160000000000001,-0.028600000000000004,717,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
155,0.005999999999999998,0.019,0.058600000000000006,0.1752,0.344625,712,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
156,0.011999999999999997,0.0616,0.11599999999999999,0.0305,-0.006500000000000002,712,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
157,-0.0092,0.015000000000000003,0.0608,0.20739999999999997,0.2152,712,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
158,-0.005499999999999998,0.10016666666666667,-0.007400000000000001,-0.045000000000000005,-0.03325,603,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
159,-0.028600000000000004,0.008200000000000002,-0.020200000000000003,-0.027625,-0.035250000000000004,603,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
160,-0.02,0.04825,0.047599999999999996,-0.023999999999999997,-0.019200000000000002,603,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
161,-0.008499999999999994,0.18319999999999997,-0.0134,-0.0886,-0.04375,605,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
162,-0.0426,0.019799999999999998,-0.021599999999999998,-0.048875,-0.05575,605,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
163,0.014500000000000002,0.10300000000000001,-0.033400000000000006,-0.072,-0.044000000000000004,606,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
164,-0.0382,-0.0258,-0.009600000000000001,-0.023750000000000007,-0.0455,606,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
165,-0.011199999999999998,0.09375,0.002799999999999997,-0.04440000000000001,-0.041600000000000005,606,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
166,-0.008,0.08960000000000001,-0.0168,-0.07366666666666667,-0.027375000000000003,599,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
167,-0.0254,0.013999999999999995,-0.012399999999999998,-0.027999999999999997,-0.0335,599,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
168,-0.0198,0.004,0.047400000000000005,-0.026000000000000002,0.006166666666666665,599,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
169,0.006000000000000002,0.1558,-0.0040000000000000036,-0.07980000000000001,-0.04625,603,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
170,-0.041,-0.033999999999999996,-0.013599999999999998,-0.015375000000000002,-0.037000000000000005,603,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
171,0.024600000000000004,0.14025,0.031200000000000006,-0.06020000000000001,-0.037714285714285714,603,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
172,0.014249999999999995,0.17439999999999997,-0.007400000000000006,-0.0818,-0.04025,605,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
173,-0.0398,-0.0338,-0.0012000000000000066,-0.022625,-0.037750000000000006,605,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
174,0.045599999999999995,0.1805,0.0262,-0.0634,-0.04460000000000001,605,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
175,-0.0002500000000000002,0.1072,-0.027000000000000003,-0.08180000000000001,-0.034875,605,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
176,-0.04360000000000001,-0.039599999999999996,0.0003999999999999948,-0.023875,-0.04125,605,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
177,0.0394,0.195,0.059500000000000004,-0.0648,-0.0466,605,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
178,0.007500000000000003,0.0802,-0.010799999999999999,-0.0556,-0.015875000000000007,600,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
179,-0.0326,-0.0156,-0.007199999999999998,-0.035750000000000004,-0.036,600,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
180,0.06324999999999999,0.198,-0.036000000000000004,-0.0524,-0.013249999999999998,593,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
181,-0.012199999999999999,0.022999999999999996,-0.0284,-0.035500000000000004,-0.03775,593,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
182,-0.030000000000000006,0.0174,-0.005399999999999997,-0.021750000000000002,-0.023000000000000003,599,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
183,-0.013999999999999999,0.40780000000000005,0.1622,0.0016000000000000014,0.0505,589,6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
184,-0.030200000000000005,-0.009166666666666668,0.0722,0.102625,0.12325,589,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
185,-0.008,0.2104,0.021399999999999992,-0.036599999999999994,0.009000000000000001,588,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
186,-0.013000000000000001,-0.015400000000000002,0.0484,0.015624999999999997,-0.0002500000000000037,588,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
