ndvi_4_month,ndvi_5_month,ndvi_6_month,ndvi_7_month,ndvi_8_month,elevation_contour,soil_name_Аллювиальные луговые тугайных лесов и кустарников,soil_name_Горно-долинные каштановые и темно-каштановые,"soil_name_Горно-долинные светло-каштановые, местами в сочетании с лугово-светло-каштановыми слабозасоленными",soil_name_Горные светло-каштановые,soil_name_Комплекс лугово-сероземных и сероземно-луговых солончаковатых (25-30%) и солонцеватых (25-30%),"soil_name_Комплекс сероземно-луговых и луговых (сазовых) солончаковатых (15-30%) и солонцеватых (15-30%), местами вторично засоленных",soil_name_Лугово-сероземные в сочетании с сероземами северными (малокарбонатными) обыкновенными,soil_name_Луговые и лугово-болотные,"soil_name_Сероземно-луговые, местами солончаковатые",soil_name_Сероземы северные (малокарбонатные) обыкновенные,soil_name_Сероземы северные (малокарбонатные) светлые вторично засоленные и заболоченные,"soil_name_Сероземы северные (малокарбонатные) светлые, местами слабо- и среднесолончаковатые",district_name_Chui district,district_name_Kemin district,district_name_Moskva district,district_name_Panfilov district,district_name_Sokuluk district,district_name_Yssyk-Ata district,district_name_Zhayil district,target
0.0905,0.08700000000000001,0.06149999999999999,0.036000000000000004,0.21275000000000002,1147,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
-0.0025000000000000005,0.015000000000000001,0.06175,0.13075,0.17725000000000002,627,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
-0.015250000000000003,0.018000000000000002,-0.008500000000000008,0.07625,0.3445,615,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,6
-0.0166,0.0512,0.163,0.145875,-0.019000000000000003,717,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2
-0.0021666666666666687,-0.016,0.0192,0.13075,0.22250000000000003,724,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,3
0.048,0.299,0.308,-0.0015000000000000013,-0.03075,1221,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
-0.007499999999999998,0.042,-0.0077499999999999965,-0.0165,-0.02,1002,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,5
0.06575,0.17475,0.05449999999999999,0.003499999999999996,-0.013749999999999998,584,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,3
0.18625,0.16125000000000003,0.08800000000000001,0.11075,0.11175,623,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6
0.062,0.13575,0.0175,0.013000000000000001,-0.010750000000000003,584,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,3
0.0062499999999999995,0.008749999999999999,0.05775,0.0835,0.09375000000000001,708,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
0.14600000000000002,0.26,0.17275000000000001,0.22850000000000004,0.14625,633,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
0.0105,0.034999999999999996,0.01275,0.0017500000000000007,-0.00475,763,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
-0.00275,0.0005000000000000004,0.031,0.048,0.051500000000000004,686,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2
0.027,0.07100000000000001,0.018750000000000003,0.008749999999999999,-0.0022500000000000003,596,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,3
0.14175,0.180375,0.160375,-0.01925,-0.020499999999999997,704,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
-0.0335,0.0265,0.03925000000000002,0.18949999999999997,0.4035,1001,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,4
