iter	Passed	Remaining
811	6438	1490
812	6441	1481
813	6443	1472
814	6446	1463
815	6448	1454
816	6450	1444
817	6453	1435
818	6456	1426
819	6459	1417
820	6461	1408
821	6463	1399
822	6466	1390
823	6468	1381
824	6471	1372
825	6474	1363
826	6477	1354
827	6479	1346
828	6482	1337
829	6484	1328
830	6486	1319
831	6490	1310
832	6492	1301
833	6495	1292
834	6497	1283
835	6499	1275
836	6502	1266
837	6505	1257
838	6507	1248
839	6510	1240
840	6513	1231
841	6516	1222
842	6518	1214
843	6521	1205
844	6524	1196
845	6526	1188
846	6529	1179
847	6531	1170
848	6534	1162
849	6536	1153
850	6539	1145
851	6542	1136
852	6544	1127
853	6546	1119
854	6549	1110
855	6551	1102
856	6553	1093
857	6557	1085
858	6559	1076
859	6561	1068
860	6564	1059
861	6566	1051
862	6569	1042
863	6572	1034
864	6574	1026
865	6577	1017
866	6579	1009
867	6582	1001
868	6584	992
869	6588	984
870	6590	976
871	6593	967
872	6595	959
873	6598	951
874	6600	942
875	6603	934
876	6606	926
877	6609	918
878	6611	910
879	6614	901
880	6616	893
881	6619	885
882	6622	877
883	6625	869
884	6627	861
885	6630	853
886	6632	844
887	6635	836
888	6638	828
889	6641	820
890	6643	812
891	6646	804
892	6648	796
893	6651	788
894	6654	780
895	6656	772
896	6659	764
897	6661	756
898	6664	748
899	6666	740
900	6669	732
901	6672	724
902	6675	717
903	6677	709
904	6679	701
905	6682	693
906	6684	685
907	6688	677
908	6691	669
909	6693	662
910	6696	654
911	6698	646
912	6701	638
913	6704	630
914	6706	623
915	6709	615
916	6746	610
917	6818	609
918	6855	604
919	6928	602
920	6964	597
921	7059	597
922	7096	592
923	7180	590
924	7256	588
925	7293	582
926	7364	579
927	7403	574
928	7475	571
929	7512	565
930	7585	562
931	7588	553
932	7590	545
933	7593	536
934	7596	528
935	7598	519
936	7602	511
937	7605	502
938	7607	494
939	7610	485
940	7612	477
941	7615	468
942	7618	460
943	7621	452
944	7623	443
945	7626	435
946	7628	426
947	7630	418
948	7634	410
949	7636	401
950	7638	393
951	7641	385
952	7643	376
953	7646	368
954	7648	360
955	7651	352
956	7654	343
957	7656	335
958	7659	327
959	7661	319
960	7663	311
961	7666	302
962	7669	294
963	7671	286
964	7674	278
965	7676	270
966	7679	262
967	7681	253
968	7685	245
969	7688	237
970	7690	229
971	7693	221
972	7695	213
973	7698	205
974	7701	197
975	7704	189
976	7706	181
977	7709	173
978	7711	165
979	7714	157
980	7717	149
981	7720	141
982	7722	133
983	7725	125
984	7727	117
985	7730	109
986	7733	101
987	7736	93
988	7738	86
989	7740	78
990	7743	70
991	7745	62
992	7748	54
993	7751	46
994	7754	38
995	7756	31
996	7759	23
997	7761	15
998	7764	7
999	7767	0
